,Unnamed: 0,name,localidad,latitude,longitude,type,color
219,219,Festival de la Chicha la Vida y la Dicha,SANTA FE,4.617198,-74.064586,Atractivo Turistico,#00B4EB
220,220,Parque Mirador de los Nevados,SUBA,4.742167,-74.079908,Atractivo Turistico,#00B4EB
221,221,Centro Cultural y Biblioteca Pública Julio Mario Santo Domingo,SUBA,4.756568,-74.062717,Atractivo Turistico,#00B4EB
222,222,Teatro Mayor Julio Mario Santo Domingo,SUBA,4.756568,-74.062717,Atractivo Turistico,#00B4EB
223,223,Parque Fontanar del Río,SUBA,4.756278,-74.111399,Atractivo Turistico,#00B4EB
224,224,Divercity,SUBA,4.762071,-74.045748,Atractivo Turistico,#00B4EB
225,225,Centro Comercial Santafé,SUBA,4.762279,-74.046435,Atractivo Turistico,#00B4EB
226,226,Parque Velódromo Primero de Mayo,SAN CRISTOBAL,4.573447,-74.088664,Atractivo Turistico,#00B4EB
227,227,Escultura Divino Niño del 20 de Julio,SAN CRISTOBAL,4.568036,-74.095666,Atractivo Turistico,#00B4EB
228,228,Santuario del Niño Jesús,SAN CRISTOBAL,4.568672,-74.09558,Atractivo Turistico,#00B4EB
229,229,Monumento a los Héroes,CHAPINERO,4.666228,-74.060681,Atractivo Turistico,#00B4EB
230,230,Parque de los Hippies,CHAPINERO,4.645401,-74.061969,Atractivo Turistico,#00B4EB
231,231,Estatua San Francisco de Asís,CHAPINERO,4.657269,-74.058486,Atractivo Turistico,#00B4EB
232,232,Capilla de los Santos Apóstoles del Gimnasio Moderno,CHAPINERO,4.659014,-74.055433,Atractivo Turistico,#00B4EB
233,233,Monumento al Almirante José Prudencio Padilla,TEUSAQUILLO,4.627045,-74.075259,Atractivo Turistico,#00B4EB
234,234,Barrio Bosque Izquierdo,SANTA FE,4.610806,-74.066288,Atractivo Turistico,#00B4EB
235,235,Edificios Gimnasio Moderno,CHAPINERO,4.659314,-74.055982,Atractivo Turistico,#00B4EB
236,236,Calima Centro Comercial Bogotá,LOS MARTIRES,4.61812,-74.085775,Atractivo Turistico,#00B4EB
237,237,Centro Mayor Centro Comercial,ANTONIO NARIÑO,4.591749,-74.124033,Atractivo Turistico,#00B4EB
238,238,Centro Comercial Andino,CHAPINERO,4.666734,-74.053111,Atractivo Turistico,#00B4EB
239,239,El Retiro Shopping Center,CHAPINERO,4.66581,-74.05419,Atractivo Turistico,#00B4EB
240,240,Parque Ciudad Montes,PUENTE ARANDA,4.602472,-74.115598,Atractivo Turistico,#00B4EB
241,241,Carrera Séptima,SANTA FE,4.605298,-74.07158,Atractivo Turistico,#00B4EB
242,242,Plaza Distrital de Mercado Doce de Octubre,BARRIOS UNIDOS,4.669114,-74.074433,Atractivo Turistico,#00B4EB
243,243,Centro Comercial Parque la Colina,SUBA,4.732945,-74.066363,Atractivo Turistico,#00B4EB
244,244,Iglesia de Jesucristo de los Santos de los Últimos Días,SUBA,4.707988,-74.056246,Atractivo Turistico,#00B4EB
245,245,Edificio Ministerio de Hacienda y Crédito Público,CANDELARIA,4.594126,-74.078394,Atractivo Turistico,#00B4EB
246,246,Museo de Ciencias Universidad El Bosque,USAQUEN,4.710697,-74.032052,Atractivo Turistico,#00B4EB
247,247,Museo Francisco de Paula Santander,USAQUEN,4.725099,-74.02554,Atractivo Turistico,#00B4EB
248,248,Casa de la Alcaldía de Usaquén,USAQUEN,4.695151,-74.031454,Atractivo Turistico,#00B4EB
249,249,Zona Gastronómica de Usaquén,USAQUEN,4.695449,-74.030436,Atractivo Turistico,#00B4EB
250,250,Transmicable,TUNJUELITO,4.571451,-74.139199,Atractivo Turistico,#00B4EB
251,251,Zona Comercial de Outlets de Las Américas,PUENTE ARANDA,4.629842,-74.116161,Atractivo Turistico,#00B4EB
252,252,Parque Metropolitano El Country,USAQUEN,4.706199,-74.038002,Atractivo Turistico,#00B4EB
