Unnamed: 0,name,localidad,latitude,longitude,type,color
7499,Iglesia de San José,SANTA FE,4.604142,-74.078354,Atractivo Turistico,#00B4EB
7501,Multiplaza Centro Comercial,FONTIBON,4.652384,-74.125994,Atractivo Turistico,#00B4EB
7503,Iglesia Nuestra Señora de las Nieves,SANTA FE,4.60615,-74.070877,Atractivo Turistico,#00B4EB
7505,Teatro El Parque,SANTA FE,4.622946,-74.063691,Atractivo Turistico,#00B4EB
7510,Parque Zonal San Andrés,ENGATIVA,4.712602,-74.110833,Atractivo Turistico,#00B4EB
7511,Capilla de La Bordadita,CANDELARIA,4.600023,-74.07327,Atractivo Turistico,#00B4EB
7512,Museo de la Universidad del Rosario,CANDELARIA,4.600278,-74.073255,Atractivo Turistico,#00B4EB
7516,Festival Internacional de Teatro Rosa,TEUSAQUILLO,4.648739,-74.066834,Atractivo Turistico,#00B4EB
7518,Parque Central Bavaria,SANTA FE,4.616744,-74.069908,Atractivo Turistico,#00B4EB
7519,Escultura Rufino José Cuervo,CANDELARIA,4.597124,-74.075297,Atractivo Turistico,#00B4EB
7520,Edificio Hotel de la Ópera,CANDELARIA,4.596806,-74.074726,Atractivo Turistico,#00B4EB
7525,Pasaje Rivas,CANDELARIA,4.599368,-74.078052,Atractivo Turistico,#00B4EB
7526,Casa Museo Jorge Eliécer Gaitán,TEUSAQUILLO,4.630783,-74.069521,Atractivo Turistico,#00B4EB
7529,Basílica de Nuestra Señora de Lourdes,CHAPINERO,4.649513,-74.062388,Atractivo Turistico,#00B4EB
7531,Museo de Arte de la Universidad Nacional,TEUSAQUILLO,4.634515,-74.080833,Atractivo Turistico,#00B4EB
7532,Casa Gómez Campuzano,CHAPINERO,4.663144,-74.051461,Atractivo Turistico,#00B4EB
7534,Escultura Ricardo Palma,CANDELARIA,4.602308,-74.067253,Atractivo Turistico,#00B4EB
7536,Escultura Camilo Torres,CANDELARIA,4.597182,-74.075777,Atractivo Turistico,#00B4EB
7537,Colegio Mayor de San Bartolomé,CANDELARIA,4.596812,-74.075935,Atractivo Turistico,#00B4EB
7538,Plazoleta del Chorro de Quevedo,CANDELARIA,4.597236,-74.06969,Atractivo Turistico,#00B4EB
7540,Callejón del Embudo,CANDELARIA,4.597805,-74.069647,Atractivo Turistico,#00B4EB
7544,Catedral Primada de Colombia,CANDELARIA,4.597765,-74.075012,Atractivo Turistico,#00B4EB
7546,Jardín Botánico de Bogotá José Celestino Mutis,ENGATIVA,4.668051,-74.100069,Atractivo Turistico,#00B4EB
7548,Cerro de Guadalupe,SANTA FE,4.592162,-74.056348,Atractivo Turistico,#00B4EB
7549,Museo Nacional de Geografía y Cartografía,TEUSAQUILLO,4.639542,-74.079867,Atractivo Turistico,#00B4EB
7552,Museo Geológico Nacional José Royo y Gómez,TEUSAQUILLO,4.640949,-74.080052,Atractivo Turistico,#00B4EB
7553,Movistar Arena,TEUSAQUILLO,4.649133,-74.077522,Atractivo Turistico,#00B4EB
7556,Museo de Suelos de Colombia,TEUSAQUILLO,4.639603,-74.079744,Atractivo Turistico,#00B4EB
7557,Reserva El Delirio,SAN CRISTOBAL,4.560075,-74.062814,Atractivo Turistico,#00B4EB
7558,Mercado de las Pulgas de Usaquén,USAQUEN,4.696272,-74.030751,Atractivo Turistico,#00B4EB
7562,Parque Ecológico Distrital Humedal Santa María del Lago,ENGATIVA,4.69447,-74.094375,Atractivo Turistico,#00B4EB
7564,Parque Ecológico Distrital Humedal Torca - GÃ¼aymaral,SUBA,4.79894,-74.040892,Atractivo Turistico,#00B4EB
7565,Parque Ecológico Distrital Humedal Salitre,BARRIOS UNIDOS,4.66747,-74.088026,Atractivo Turistico,#00B4EB
7566,Parque Ecológico Distrital Humedal Capellanía,FONTIBON,4.674708,-74.130509,Atractivo Turistico,#00B4EB
7568,Biblioteca Auditorio Universidad Jorge Tadeo Lozano,SANTA FE,4.606236,-74.067392,Atractivo Turistico,#00B4EB
7569,Reserva Forestal Protectora Bosque Oriental Bogotá,SANTA FE,4.612094,-74.037129,Atractivo Turistico,#00B4EB
7572,Chorro de Padilla,CANDELARIA,4.601429,-74.059041,Atractivo Turistico,#00B4EB
7573,Museo de Artes Visuales,SANTA FE,4.606016,-74.067152,Atractivo Turistico,#00B4EB
7577,Edificio Guillermo Rueda Montaña de la Universidad de Bogotá Jorge Tadeo Lozano,SANTA FE,4.606796,-74.066967,Atractivo Turistico,#00B4EB
7579,Parque Ecológico Distrital Humedal La Conejera,SUBA,4.760945,-74.102633,Atractivo Turistico,#00B4EB
7580,Vereda La Requilina,USME,4.468696,-74.120375,Atractivo Turistico,#00B4EB
